epoch,accuracy,loss,val_accuracy,val_loss
0,0.3692222535610199,1.3272541761398315,0.41786742210388184,1.2849676609039307
1,0.6346526145935059,0.9894581437110901,0.6484149694442749,0.9308857917785645
2,0.7918627262115479,0.5797838568687439,0.7060518860816956,0.7793207764625549
3,0.8510932922363281,0.415046364068985,0.6743515729904175,0.8072280287742615
4,0.8843066692352295,0.3201883137226105,0.7002881765365601,0.837651789188385
5,0.9108774065971375,0.2607560455799103,0.6772334575653076,0.9204750657081604
6,0.9310821890830994,0.2137334942817688,0.6772334575653076,0.9575555920600891
7,0.9435372352600098,0.18015547096729279,0.6887608170509338,1.0049138069152832
8,0.9582064747810364,0.15011854469776154,0.6772334575653076,1.1064492464065552
9,0.9623581767082214,0.12918193638324738,0.6887608170509338,1.1674398183822632
10,0.9659562706947327,0.11884766817092896,0.6858789920806885,1.1670747995376587
11,0.9684472680091858,0.11039420962333679,0.6599423885345459,1.2583318948745728
12,0.9690008163452148,0.10738033801317215,0.6743515729904175,1.3079400062561035
13,0.9709382653236389,0.09519468247890472,0.6743515729904175,1.351522445678711
14,0.9723221659660339,0.08984090387821198,0.680115282535553,1.4075714349746704
15,0.9731525182723999,0.08553337305784225,0.6685879230499268,1.4530885219573975
16,0.975643515586853,0.08416108042001724,0.6743515729904175,1.4233038425445557
17,0.975089967250824,0.07856030762195587,0.6772334575653076,1.461108922958374
18,0.9761970639228821,0.07359915971755981,0.6685879230499268,1.4806569814682007
19,0.9745364189147949,0.07499579340219498,0.6685879230499268,1.5308113098144531
20,0.9767506122589111,0.07589700073003769,0.6685879230499268,1.5107733011245728
21,0.9775809645652771,0.07031064480543137,0.6628242135047913,1.63228178024292
22,0.9759202599525452,0.06709792464971542,0.6685879230499268,1.6287997961044312
23,0.9775809645652771,0.06902165710926056,0.6657060384750366,1.6401331424713135
24,0.9775809645652771,0.06342852860689163,0.6772334575653076,1.6106351613998413
